Leaf name,Leaf Link,Chunk Status,Embedding Status,Num Chunks,Timestamp
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,PENDING,2,2025-01-06 12:46:26
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,YES,2,2025-01-06 12:46:26
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,PENDING,2,2025-01-06 12:51:07
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,YES,2,2025-01-06 12:51:07
Organization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/organization/articles/managing-organizations,YES,PENDING,4,2025-01-06 12:51:59
Organization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/organization/articles/managing-organizations,YES,YES,4,2025-01-06 12:51:59
Manage Users,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/manage-users/articles/manage,YES,PENDING,2,2025-01-06 12:52:51
Manage Users,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/manage-users/articles/manage,YES,YES,2,2025-01-06 12:52:51
User Roles,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/user-roles/articles/user-14-12-2022,YES,PENDING,1,2025-01-06 12:53:42
User Roles,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/user-roles/articles/user-14-12-2022,YES,YES,1,2025-01-06 12:53:42
Organization Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/h1-nbsp-organization-administrators-nbsp-h1,YES,PENDING,1,2025-01-06 12:54:33
Organization Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/h1-nbsp-organization-administrators-nbsp-h1,YES,YES,1,2025-01-06 12:54:33
Workspace Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/manage-workspace-administrators,YES,PENDING,1,2025-01-06 12:55:24
Workspace Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/manage-workspace-administrators,YES,YES,1,2025-01-06 12:55:24
Account Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/account-notifications,YES,PENDING,1,2025-01-06 12:56:15
Account Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/account-notifications,YES,YES,1,2025-01-06 12:56:15
Usage Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/usage-notifications,YES,PENDING,1,2025-01-06 12:57:06
Usage Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/usage-notifications,YES,YES,1,2025-01-06 12:57:06
Manage Email Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/manage-email-settings,YES,PENDING,1,2025-01-06 12:57:57
Manage Email Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/manage-email-settings,YES,YES,1,2025-01-06 12:57:57
Feature Control,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/feature-control,YES,PENDING,1,2025-01-06 12:58:48
Feature Control,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/feature-control,YES,YES,1,2025-01-06 12:58:48
Security Controls,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/security-controls,YES,PENDING,1,2025-01-06 12:59:38
Security Controls,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/security-controls,YES,YES,1,2025-01-06 12:59:38
Backup,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/backup-3-3-2021,YES,PENDING,1,2025-01-06 13:00:29
Backup,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/backup-3-3-2021,YES,YES,1,2025-01-06 13:00:29
Audit Logs,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/audit-logs-25-3-2021,YES,PENDING,2,2025-01-06 13:01:20
Audit Logs,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/audit-logs-25-3-2021,YES,YES,2,2025-01-06 13:01:20
GDPR Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/zoho-analytics-gdpr-compliance,YES,PENDING,2,2025-01-06 13:02:12
GDPR Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/zoho-analytics-gdpr-compliance,YES,YES,2,2025-01-06 13:02:12
HIPAA Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/hipaa-compliance-15-12-2022-1,YES,PENDING,2,2025-01-06 13:03:03
HIPAA Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/hipaa-compliance-15-12-2022-1,YES,YES,2,2025-01-06 13:03:03
Logo Rebranding,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/logo-rebranding,YES,PENDING,1,2025-01-06 13:03:54
Logo Rebranding,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/logo-rebranding,YES,YES,1,2025-01-06 13:03:54
Theme and Tab Customization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/theme-tab-customization,YES,PENDING,1,2025-01-06 13:04:45
Theme and Tab Customization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/theme-tab-customization,YES,YES,1,2025-01-06 13:04:45
Pricing and Subscriptions,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/subscriptions/articles/pricing-and-payments,YES,PENDING,6,2025-01-06 13:05:36
Pricing and Subscriptions,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/subscriptions/articles/pricing-and-payments,YES,YES,6,2025-01-06 13:05:36
Overview,https://help.zoho.com/portal/en/kb/analytics/user-guide/overview/articles/zoho-analytics-cloud-overview,YES,PENDING,2,2025-01-06 13:06:28
Overview,https://help.zoho.com/portal/en/kb/analytics/user-guide/overview/articles/zoho-analytics-cloud-overview,YES,YES,2,2025-01-06 13:06:28
